Trial Number,Fold,Accuracy,Precision,Recall,F1,AUC,AUPR
0,1,0.8619581121790274,0.8607431521405166,0.8519581121790274,0.851875805340259,0.9856397517908466,0.7268037714377369
0,2,0.8608521015636207,0.8638197014450741,0.8608521015636207,0.8594767079789184,0.9856879599274754,0.7293086753003035
0,3,0.8649705924544542,0.8565823472658259,0.8549705924544542,0.8531074713345117,0.987411641227985,0.7343641519880331
0,4,0.857983072729881,0.8608962297921743,0.857983072729881,0.8570441699925703,0.9872847973560418,0.7330099666589376
0,5,0.8612408549705924,0.8608371543470572,0.8512408549705924,0.8533797852469643,0.986359695703149,0.730774021249935
1,1,0.8750537942906326,0.8754734908904225,0.8750537942906326,0.8739284014145348,0.9910907452756376,0.7680876129583779
1,2,0.8729020226653278,0.8736348560818846,0.8729020226653278,0.8718438489748397,0.9898586559385607,0.7581767261561484
1,3,0.871037153923397,0.8706742106938006,0.871037153923397,0.8694908923040302,0.9904086937045408,0.7591888501002156
1,4,0.8721847654568928,0.8720197674765383,0.8721847654568928,0.8710031570174382,0.9916345141412194,0.7599702210220695
1,5,0.8688853822980921,0.8663934233762913,0.8688853822980921,0.8666097589586397,0.9896803780056508,0.7567173360697774
2,1,0.8631473246306125,0.8593568742580551,0.8631473246306125,0.8598549771363726,0.9884277876076435,0.7410307837041793
2,2,0.857409266963133,0.8617244708574094,0.857409266963133,0.8572481690419735,0.987634199272842,0.7434442308629202
2,3,0.8638645818390475,0.865752826419557,0.8638645818390475,0.8625872904045054,0.9874888507779912,0.739381793130596
2,4,0.8601348443551857,0.8598954223876435,0.8601348443551857,0.8579439114529086,0.9888271742725453,0.744722906801078
2,5,0.8635360780375842,0.860801910261287,0.8535360780375842,0.8528517496608885,0.9887454619451825,0.7423459369294088
3,1,0.8840912351169129,0.8831452989060671,0.8840912351169129,0.8827528090161412,0.9918338381192935,0.7794899998428756
3,2,0.881913269258356,0.8814631162618543,0.882513269258356,0.8806177510881331,0.9919338085957532,0.78367776643836
3,3,0.8794400803328074,0.87900377635329,0.8786400803328074,0.8773594870397681,0.991255796998583,0.7725933357344116
3,5,0.8813656577248601,0.8810348263321678,0.8813656577248601,0.8804996726394151,0.9917554233421755,0.7772430725676622
3,4,0.8782876918663032,0.8805053523052552,0.8797876918663032,0.8789871225379661,0.991138213636717,0.7757769943310692
4,1,0.8727585712236408,0.8732316070906253,0.8727585712236408,0.8714236220487355,0.9895964583020963,0.7560378348536555
4,2,0.8655859991392914,0.8700276699738198,0.8655859991392914,0.8653391122384543,0.990794547230131,0.7512084871619432
4,3,0.8708937024817099,0.8689086496594922,0.8708937024817099,0.8685867815836424,0.9905439463437977,0.7488451732086783
4,4,0.8660163534643524,0.8729754986041347,0.8660163534643524,0.8666189721296552,0.9891980812302131,0.7557012438714219
4,5,0.86945918806484,0.8742169033063467,0.86945918806484,0.8695058337055228,0.9906624806063601,0.7594692223518408
5,1,0.8661598049060393,0.8687792269127438,0.8661598049060393,0.8658811480569308,0.9901027620509445,0.7634204794106648
5,2,0.8671639649978482,0.8701719171162918,0.8671639649978482,0.8665918154481961,0.9911553705056856,0.7620316379684253
5,3,0.8697044900301248,0.8657028544640659,0.8597044900301248,0.8597568990845749,0.990144572813257,0.7600674459131787
5,4,0.8624300674221775,0.8691410536599778,0.8624300674221775,0.8617214790043107,0.991674466661556,0.7701193997889494
5,5,0.8714675082484579,0.8721124896710098,0.8714675082484579,0.8698911059290935,0.9900984697421239,0.7497578656482627
6,1,0.8671639649978482,0.8695857894397824,0.8671639649978482,0.8668165015031851,0.9909928036551775,0.7732611082603554
6,2,0.8730454741070148,0.876622794697419,0.8730454741070148,0.8725287315006304,0.9890303631881316,0.7658156828128954
6,3,0.8724716683402668,0.8747392227935128,0.8724716683402668,0.8708283924847166,0.9894548196750158,0.7706151777321865
6,4,0.8716109596901449,0.8734479690273012,0.8716109596901449,0.870013046831167,0.9907504748978118,0.7758511194343648
6,5,0.8734758284320757,0.8751185462368423,0.8734758284320757,0.8719575763036324,0.9904454815744809,0.7678600681459271
7,1,0.8681681250896571,0.8690432818296052,0.8681681250896571,0.865975452209777,0.9892621037315892,0.7553897188801063
7,2,0.8642949361641085,0.86898720600101,0.8642949361641085,0.8648738399595952,0.9899164366631035,0.7551202359994889
7,3,0.8605651986802467,0.8618975370495799,0.8605651986802467,0.8586703096941515,0.9892370022272359,0.7433348315463201
7,4,0.8693157366231531,0.8697907233961282,0.8693157366231531,0.8671222209509895,0.9891452678080476,0.7608404254224356
7,5,0.8630038731889256,0.8634196325307876,0.8630038731889256,0.8617644835359759,0.9894698451462223,0.7543564622133733
8,1,0.7588581265241716,0.782165407208335,0.7588581265241716,0.7435787240966949,0.9633549273430869,0.4418115696404454
8,2,0.7361927987376273,0.7717876999688504,0.7361927987376273,0.7187700605826131,0.9645030894752091,0.4131306095317119
8,3,0.7628747668914072,0.771944575874982,0.7628747668914072,0.7583643465917635,0.9717878855385038,0.5028980664762411
8,4,0.6944484292067136,0.7168636637624713,0.6944484292067136,0.6569123439104195,0.9334256030607769,0.3217225511728669
8,5,0.7433653708219767,0.7645880713217792,0.7433653708219767,0.7335307486747848,0.9663135872063326,0.43209963256075956
9,1,0.8727585712236408,0.8726154328169426,0.8727585712236408,0.8714816476795414,0.9912210339753912,0.7705707173109078
9,2,0.8727585712236408,0.8750271362556791,0.8727585712236408,0.8728019771839951,0.9902634720987823,0.7752379261855216
9,3,0.8734758284320757,0.8741300350501827,0.8734758284320757,0.8726254014544464,0.990640678090158,0.7589285609652409
9,4,0.8744799885238846,0.8745118000065402,0.8744799885238846,0.8734691763567924,0.9906057246115557,0.7590686924864862
9,5,0.8729020226653278,0.8730150930093689,0.8729020226653278,0.8719934614457889,0.990624608768897,0.7568834864882609
